Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm);;;;Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm)
1;Selenium; 0.012; 0.02;12.3457E14;243.00;;;;1,Selenium, 0.012, 0.02,12.3457E14,243.00
2;Selenium; 0.049;-0.01;12.4481E14;241.00;;;;2,Selenium, 0.049,-0.01,12.4481E14,241.00
3;Selenium; 0.099;-0.01;12.5523E14;239.00;;;;3,Selenium, 0.099,-0.01,12.5523E14,239.00
4;Selenium; 0.139; 0.02;12.6582E14;237.00;;;;4,Selenium, 0.139, 0.02,12.6582E14,237.00
5;Selenium; 0.182; 0.00;12.7660E14;235.00;;;;5,Selenium, 0.182, 0.00,12.7660E14,235.00
6;Selenium; 0.230; 0.00;12.8755E14;233.00;;;;6,Selenium, 0.230, 0.00,12.8755E14,233.00
7;Selenium; 0.280; 0.00;12.9870E14;231.00;;;;7,Selenium, 0.280, 0.00,12.9870E14,231.00
8;Selenium; 0.320;-0.01;13.1004E14;229.00;;;;8,Selenium, 0.320,-0.01,13.1004E14,229.00
9;Selenium; 0.371;-0.02;13.2159E14;227.00;;;;9,Selenium, 0.371,-0.02,13.2159E14,227.00
10;Selenium; 0.422; 0.00;13.3333E14;225.00;;;;10,Selenium, 0.422, 0.00,13.3333E14,225.00
11;Selenium; 0.471;-0.01;13.4529E14;223.00;;;;11,Selenium, 0.471,-0.01,13.4529E14,223.00
12;Selenium; 0.521; 0.00;13.5747E14;221.00;;;;12,Selenium, 0.521, 0.00,13.5747E14,221.00
13;Selenium; 0.571; 0.00;13.6986E14;219.00;;;;13,Selenium, 0.571, 0.00,13.6986E14,219.00
14;Selenium; 0.618; 0.00;13.8249E14;217.00;;;;14,Selenium, 0.618, 0.00,13.8249E14,217.00
15;Selenium; 0.679;-0.02;13.9535E14;215.00;;;;15,Selenium, 0.679,-0.02,13.9535E14,215.00
16;Selenium; 0.729; 0.00;14.0845E14;213.00;;;;16,Selenium, 0.729, 0.00,14.0845E14,213.00
17;Selenium; 0.790; 0.00;14.2180E14;211.00;;;;17,Selenium, 0.790, 0.00,14.2180E14,211.00
18;Selenium; 0.840;-0.01;14.3541E14;209.00;;;;18,Selenium, 0.840,-0.01,14.3541E14,209.00
19;Selenium; 0.899;-0.01;14.4928E14;207.00;;;;19,Selenium, 0.899,-0.01,14.4928E14,207.00
20;Selenium; 0.958; 0.02;14.6341E14;205.00;;;;20,Selenium, 0.958, 0.02,14.6341E14,205.00
21;Selenium; 1.020;-0.01;14.7783E14;203.00;;;;21,Selenium, 1.020,-0.01,14.7783E14,203.00
22;Selenium; 1.079; 0.00;14.9254E14;201.00;;;;22,Selenium, 1.079, 0.00,14.9254E14,201.00
